occ_code,task_id,pi,normalized_time
11-9141.00,7224,0.0154150624923153,0.1012658227848101
11-9141.00,7225,0.0683163796938886,0.0379746835443038
11-9141.00,7226,0.0174200125168567,0.050632911392405
11-9141.00,7227,0.0537204334533434,0.0379746835443038
11-9141.00,7228,0.0080915791112869,0.050632911392405
11-9141.00,7229,0.0091866811748652,0.0632911392405063
11-9141.00,7230,0.0156438253550393,0.0189873417721519
11-9141.00,7231,0.0480646484750599,0.0379746835443038
11-9141.00,7232,0.000888215030719,0.0316455696202531
11-9141.00,7233,0.0535937014826134,0.0189873417721519
11-9141.00,7234,0.008668527704104,0.0316455696202531
11-9141.00,7235,0.0241850210900967,0.0189873417721519
11-9141.00,7236,0.0259032447891563,0.050632911392405
11-9141.00,7237,0.0543806415104563,0.0379746835443038
11-9141.00,7238,0.0307938713099073,0.0253164556962025
11-9141.00,7239,0.0383021432963675,0.0126582278481012
11-9141.00,7240,0.0593861443252294,0.0253164556962025
11-9141.00,7241,0.0012471264104789,0.0379746835443038
11-9141.00,7242,0.0980335629066832,0.0063291139240506
11-9141.00,7243,0.0908952132660699,0.0063291139240506
11-9141.00,7244,0.0829846578160947,0.0126582278481012
11-9141.00,7245,0.0829701610591831,0.0189873417721519
11-9151.00,1134,0.0358841068843939,0.036036036036036
11-9151.00,1135,0.0526368762072189,0.054054054054054
11-9151.00,1136,0.1241609053593809,0.036036036036036
11-9151.00,1138,0.1305177068795754,0.027027027027027
11-9151.00,1141,0.2109955164258929,0.054054054054054
11-9161.00,7253,0.0183834569852584,0.08
11-9161.00,7254,0.0005589718945252,0.1
11-9161.00,7255,0.0002676796512756,0.04
11-9161.00,7256,0.0017093127219684,0.04
11-9161.00,7257,0.0459622666094984,0.06
11-9161.00,7258,0.0423427024176557,0.08
11-9161.00,7259,0.0046153832862573,0.04
11-9161.00,7260,0.0272295702179838,0.04
11-9161.00,7261,0.000719551575062,0.05
11-9161.00,7262,0.0033879852948278,0.04
11-9161.00,7263,0.0061923319695862,0.06
11-9161.00,7264,0.0003993409342016,0.05
11-9161.00,7265,0.00245901251714,0.06
11-9161.00,7266,0.0103185972792412,0.03
11-9161.00,7267,0.0022216919126879,0.03
11-9161.00,7268,0.0335897905275274,0.03
11-9161.00,7269,0.0009108065424935,0.04
11-9161.00,7270,0.0334460423031203,0.02
11-9161.00,7271,0.0003034499170932,0.02
11-9161.00,7272,0.0002556273907889,0.05
11-9161.00,7273,0.2990491641863662,0.01
11-9161.00,7274,0.3322308408760358,0.01
11-9161.00,7275,0.1334464229894042,0.02
11-9171.00,18834,0.0244217652037898,0.0485436893203883
11-9179.01,15544,0.0267985320472195,0.042016806722689
11-9179.01,15545,0.0227031169888842,0.0504201680672268
11-9179.01,15546,0.0081696797271045,0.0336134453781512
11-9179.01,15547,0.0034314351371663,0.042016806722689
11-9179.01,15548,0.000431595536505,0.0168067226890756
11-9179.01,15549,0.0290391904372496,0.0504201680672268
11-9179.01,15550,0.0646124013726355,0.0252100840336134
11-9179.01,15551,0.0589611686877844,0.042016806722689
11-9179.01,15552,0.0131955962546775,0.0336134453781512
11-9179.01,15553,0.0026223118067907,0.0504201680672268
11-9179.01,15554,0.2105410026188076,0.0168067226890756
11-9179.01,15555,0.0144257784839983,0.0252100840336134
11-9179.01,15556,0.0135731065225374,0.0336134453781512
11-9179.01,15557,0.0499878803122149,0.0840336134453781
11-9179.01,15558,0.0248844813799252,0.0672268907563025
11-9179.01,15559,0.0146684366160633,0.0252100840336134
11-9179.01,15560,0.0086594440927194,0.042016806722689
11-9179.01,15561,0.0339683528708232,0.0672268907563025
11-9179.01,15562,0.01269454513825,0.1008403361344537
11-9179.01,20314,0.2243789867496215,0.0168067226890756
11-9179.01,20315,0.0843315420297405,0.0336134453781512
11-9179.01,20316,0.045087233556627,0.0168067226890756
11-9179.01,20317,0.0285201716547771,0.0504201680672268
11-9179.01,23945,0.0043140099778761,0.0336134453781512
11-9179.02,17611,0.0392803787899978,0.027906976744186
11-9179.02,17614,0.0545884354006185,0.0046511627906976
11-9179.02,17618,0.0364479232577638,0.0093023255813953
11-9199.01,18022,0.0063425584108139,0.08
11-9199.01,18023,0.0020497853038138,0.048
11-9199.01,18024,0.0090668644089413,0.072
11-9199.01,18025,0.0118877822734435,0.056
11-9199.01,18026,0.0199871266157405,0.064
11-9199.01,18027,0.0234778753479118,0.032
11-9199.01,18028,0.0995888883297604,0.024
11-9199.01,18029,0.0813916693825495,0.032
11-9199.01,18030,0.0140177235762826,0.064
11-9199.01,18031,0.0397988960691972,0.04
11-9199.01,18032,0.023182490702917,0.04
11-9199.01,18034,0.0215383778191424,0.024
11-9199.01,18035,0.001892828179365,0.048
11-9199.01,18036,0.0002769469391485,0.024
11-9199.01,18037,0.0091048084540428,0.096
11-9199.01,18038,0.0020031143406728,0.048
11-9199.01,18039,0.0032135867095282,0.024
11-9199.01,18040,0.042634380709944,0.032
11-9199.01,18041,0.1346815958172759,0.008
11-9199.01,18042,0.0047469550458474,0.032
11-9199.01,18043,0.0014961886927979,0.016
11-9199.01,18044,0.0769236706773942,0.008
11-9199.01,19529,0.0852461051940548,0.016
11-9199.01,19530,0.1154214714554778,0.008
11-9199.01,19531,0.1205247598421116,0.008
11-9199.01,19532,0.0403715412915555,0.008
11-9199.01,21087,0.0091320084102683,0.048
11-9199.02,15646,0.054687662804043,0.0236220472440944
11-9199.02,19534,0.2014898464592816,0.0157480314960629
